RDM-GraphSAINT,Flickr,1,0.3009,0.0712
RDM-GraphSAINT,Flickr,2,0.4864,0.0698
RDM-GraphSAINT,Flickr,3,0.6734,0.0710
RDM-GraphSAINT,Flickr,4,0.8895,0.0704
RDM-GraphSAINT,Flickr,5,1.0751,0.0724
RDM-GraphSAINT,Flickr,6,1.2587,0.0693
RDM-GraphSAINT,Flickr,7,1.4426,0.0718
RDM-GraphSAINT,Flickr,8,1.6271,0.0709
RDM-GraphSAINT,Flickr,9,1.8126,0.0689
RDM-GraphSAINT,Flickr,10,1.9965,0.0724
RDM-GraphSAINT,Flickr,11,2.1805,0.0711
RDM-GraphSAINT,Flickr,12,2.3643,0.0709
RDM-GraphSAINT,Flickr,13,2.5483,0.0698
RDM-GraphSAINT,Flickr,14,2.7321,0.0719
RDM-GraphSAINT,Flickr,15,2.9169,0.0697
RDM-GraphSAINT,Flickr,16,3.1007,0.0721
RDM-GraphSAINT,Flickr,17,3.2842,0.0695
RDM-GraphSAINT,Flickr,18,3.4682,0.0726
RDM-GraphSAINT,Flickr,19,3.6523,0.0690
RDM-GraphSAINT,Flickr,20,3.8372,0.0709
RDM-GraphSAINT,Flickr,21,4.0214,0.0692
RDM-GraphSAINT,Flickr,22,4.2061,0.0690
RDM-GraphSAINT,Flickr,23,4.4138,0.0691
RDM-GraphSAINT,Flickr,24,4.6216,0.0718
RDM-GraphSAINT,Flickr,25,4.8082,0.0704
RDM-GraphSAINT,Flickr,26,4.9933,0.0703
RDM-GraphSAINT,Flickr,27,5.1799,0.0699
RDM-GraphSAINT,Flickr,28,5.3647,0.0673
RDM-GraphSAINT,Flickr,29,5.5489,0.0719
RDM-GraphSAINT,Flickr,30,5.7347,0.0703
RDM-GraphSAINT,Flickr,31,5.9204,0.0715
